,MARGINALPDBC_1,MARGINALPDBC_2,MARGINALPDBCPT_1,MARGINALPDBCPT_2,Demanda no servida sobre marginal_ES,Total Compras_ES,Total Ventas_ES,Total Contratos Bilaterales_ES,Demanda no servida sobre marginal_PT,Total Compras_PT,Total Ventas_PT,Total Contratos Bilaterales_PT,Demanda no servida sobre marginal_MI,Total Compras_MI,Total Ventas_MI,Total Contratos Bilaterales_MI
2018-06-02 00:00:00,60.69,60.69,60.69,60.69,,"18.472,6","15.187,2",,,"5.186,3","6.271,7",,,"23.658,9","21.458,9",
2018-06-02 01:00:00,59.74,59.74,59.74,59.74,,"17.421,9","14.593,5",,,"4.896,7","5.525,1",,,"22.318,6","20.118,6",
2018-06-02 02:00:00,59.3,59.3,59.3,59.3,,"16.228,2","14.113,7",,,"4.612,4","5.226,9",,,"20.840,6","19.340,6",
2018-06-02 03:00:00,58.33,58.33,58.33,58.33,,"15.500,7","13.341,3",,,"4.444,9","5.104,3",,,"19.945,6","18.445,6",
2018-06-02 04:00:00,58.0,58.0,58.0,58.0,,"15.023,3","12.843,1",,,"4.321,8","5.002,0",,,"19.345,1","17.845,1",
2018-06-02 05:00:00,57.07,57.07,57.07,57.07,,"14.815,9","12.654,1",,,"4.274,1","4.935,9",,,"19.090,0","17.590,0",
2018-06-02 06:00:00,56.64,56.64,56.64,56.64,,"14.768,4","12.363,9",,,"4.138,9","5.043,4",,,"18.907,3","17.407,3",
2018-06-02 07:00:00,56.64,56.64,56.64,56.64,,"15.219,4","12.316,1",,,"4.034,1","5.437,4",,,"19.253,5","17.753,5",
2018-06-02 08:00:00,57.13,57.13,57.13,57.13,,"16.871,5","12.734,5",,,"4.260,1","5.947,1",,,"21.131,6","18.681,6",
2018-06-02 09:00:00,63.61,63.61,63.61,63.61,,"18.313,9","14.029,3",,,"4.679,4","6.514,0",,,"22.993,3","20.543,3",
2018-06-02 10:00:00,64.97,64.97,64.97,64.97,,"19.655,2","15.439,3",,,"5.026,6","6.792,5",,,"24.681,8","22.231,8",
2018-06-02 11:00:00,64.97,64.97,64.97,64.97,,"20.174,0","16.208,5",,,"5.213,5","6.729,0",,,"25.387,5","22.937,5",
2018-06-02 12:00:00,64.97,64.97,64.97,64.97,,"20.632,3","16.828,2",,,"5.337,3","6.691,4",,,"25.969,6","23.519,6",
2018-06-02 13:00:00,64.97,64.97,64.97,64.97,,"20.957,2","17.237,2",,,"5.371,9","6.641,9",,,"26.329,1","23.879,1",
2018-06-02 14:00:00,62.86,62.86,62.86,62.86,,"20.564,1","17.268,4",,,"5.270,6","6.116,3",,,"25.834,7","23.384,7",
2018-06-02 15:00:00,58.64,58.64,58.64,58.64,,"20.105,2","16.995,1",,,"5.177,6","5.837,7",,,"25.282,8","22.832,8",
2018-06-02 16:00:00,55.0,55.0,55.0,55.0,,"19.372,3","16.481,3",,,"5.105,8","5.546,8",,,"24.478,1","22.028,1",
2018-06-02 17:00:00,54.54,54.54,54.54,54.54,,"19.030,6","15.893,7",,,"5.015,5","5.702,4",,,"24.046,1","21.596,1",
2018-06-02 18:00:00,56.13,56.13,56.13,56.13,,"18.779,2","15.416,2",,,"4.971,1","5.884,1",,,"23.750,3","21.300,3",
2018-06-02 19:00:00,61.0,61.0,61.0,61.0,,"18.804,3","15.200,8",,,"5.037,2","6.190,7",,,"23.841,5","21.391,5",
